1462976761,Lying
1462976765,Transitioning
1462976766,Lying
1462976767,Lying
1462976768,Lying
1462976769,Lying
1462976770,Lying
1462976771,Lying
1462976772,Lying
1462976773,Lying
1462976774,Lying
1462976775,Lying
1462976781,Lying
1462976782,Lying
1462976783,Lying
1462976784,Lying
1462976785,Lying
1462976786,Lying
1462976787,Lying
1462976788,Lying
1462976789,Lying
1462976790,Lying
1462976791,Lying
1462976799,Lying
1462976800,Lying
1462976801,Lying
1462976802,Lying
1462976803,Lying
1462976804,Lying
1462976805,Lying
1462976806,Lying
1462976807,Lying
1462976808,Lying
1462976809,Lying
1462976810,Lying
1462976816,Lying
1462976817,Lying
1462976818,Lying
1462976819,Lying
1462976820,Lying
1462976821,Lying
1462976822,Lying
1462976823,Lying
1462976824,Lying
1462976825,Lying
1462976826,Lying
1462976827,Lying
1462976833,Lying
1462976834,Lying
1462976835,Lying
1462976836,Lying
1462976837,Lying
1462976838,Lying
1462976839,Lying
1462976840,Lying
1462976841,Lying
1462976842,Lying
1462976843,Lying
1462976844,Lying
1462976850,Lying
1462976851,Lying
1462976852,Lying
1462976853,Lying
1462976854,Lying
1462976855,Lying
1462976856,Lying
1462976857,Lying
1462976858,Lying
1462976859,Lying
1462976860,Lying
1462976861,Lying
1462976864,Lying
1462976865,Lying
1462976866,Lying
1462976867,Lying
1462976868,Lying
1462976869,Lying
1462976870,Lying
1462976871,Lying
1462976872,Lying
1462976873,Lying
1462976874,Lying
1462976875,Lying
1462976878,Lying
1462976879,Lying
1462976880,Lying
1462976881,Lying
1462976882,Lying
1462976883,Lying
1462976884,Lying
1462976885,Lying
1462976886,Lying
1462976887,Lying
1462976888,Lying
1462976889,Lying
1462976892,Lying
1462976893,Lying
1462976894,Lying
1462976895,Lying
1462976896,Lying
1462976897,Lying
1462976898,Lying
1462976899,Lying
1462976900,Lying
1462976901,Lying
1462976902,Lying
1462976903,Lying
1462976907,Lying
1462976908,Walking
1462976909,Walking
1462976910,Walking
1462976911,Transitioning
1462976912,Lying
1462976913,Lying
1462976914,Transitioning
1462976915,Transitioning
1462976916,Transitioning
1462976917,Transitioning
1462976921,Lying
1462976922,Lying
1462976923,Lying
1462976924,Lying
1462976925,Lying
1462976926,Lying
1462976927,Lying
1462976928,Lying
1462976929,Lying
1462976930,Lying
1462976931,Lying
1462976932,Lying
1462976935,Lying
1462976936,Lying
1462976937,Lying
1462976938,Lying
1462976939,Lying
1462976940,Lying
1462976941,Lying
1462976942,Lying
1462976943,Lying
1462976944,Lying
1462976945,Lying
1462976946,Lying
1462976949,Lying
1462976950,Lying
1462976951,Lying
1462976952,Lying
1462976953,Lying
1462976954,Lying
1462976955,Lying
1462976956,Lying
1462976957,Lying
1462976958,Lying
1462976959,Lying
1462976960,Lying
1462976964,Lying
1462976965,Lying
1462976966,Lying
1462976967,Lying
1462976968,Lying
1462976969,Lying
1462976970,Lying
1462976971,Lying
1462976972,Lying
1462976973,Lying
1462976974,Lying
1462976977,Lying
1462976978,Lying
1462976979,Lying
1462976980,Lying
1462976981,Lying
1462976982,Lying
1462976983,Lying
1462976984,Lying
1462976985,Lying
1462976986,Lying
1462976987,Lying
1462976992,Lying
1462976993,Lying
1462976994,Lying
1462976995,Lying
1462976996,Lying
1462976997,Lying
1462976998,Lying
1462976999,Lying
1462977000,Lying
1462977001,Lying
1462977002,Lying
1462977005,Lying
1462977006,Lying
1462977007,Lying
1462977008,Lying
1462977009,Lying
1462977010,Lying
1462977011,Lying
1462977012,Lying
1462977013,Lying
1462977014,Lying
1462977015,Lying
1462977019,Lying
1462977020,Lying
1462977021,Lying
1462977022,Lying
1462977023,Lying
1462977024,Lying
1462977025,Lying
1462977026,Lying
1462977027,Lying
1462977028,Lying
1462977029,Lying
1462977030,Lying
1462977033,Lying
1462977034,Lying
1462977035,Lying
1462977036,Lying
1462977037,Lying
1462977038,Lying
1462977039,Lying
1462977040,Lying
1462977041,Lying
1462977042,Lying
1462977043,Lying
1462977046,Lying
1462977047,Lying
1462977048,Lying
1462977049,Lying
1462977050,Lying
1462977051,Lying
1462977052,Lying
1462977053,Lying
1462977054,Lying
1462977055,Lying
1462977056,Lying
1462977057,Lying
1462977061,Lying
1462977062,Lying
1462977063,Lying
1462977064,Lying
1462977065,Lying
1462977066,Lying
1462977067,Lying
1462977068,Lying
1462977069,Lying
