1462976761,Lying,97,33.64
1462976765,Transitioning,83,33.48
1462976766,Lying,100,33.48
1462976767,Lying,82,33.48
1462976768,Lying,93,33.48
1462976769,Lying,86,33.48
1462976770,Lying,91,33.48
1462976771,Lying,89,33.48
1462976772,Lying,83,33.48
1462976773,Lying,101,33.48
1462976774,Lying,87,33.48
1462976775,Lying,73,33.48
1462976781,Lying,77,33.48
1462976782,Lying,82,33.48
1462976783,Lying,76,33.48
1462976784,Lying,89,33.48
1462976785,Lying,100,33.32
1462976786,Lying,84,33.48
1462976787,Lying,73,33.48
1462976788,Lying,77,33.48
1462976789,Lying,86,33.48
1462976790,Lying,94,33.48
1462976791,Lying,85,33.48
1462976799,Lying,101,33.32
1462976800,Lying,89,33.32
1462976801,Lying,82,33.32
1462976802,Lying,102,33.48
1462976803,Lying,90,33.48
1462976804,Lying,98,33.48
1462976805,Lying,85,33.32
1462976806,Lying,97,33.48
1462976807,Lying,103,33.48
1462976808,Lying,79,33.48
1462976809,Lying,100,33.48
1462976810,Lying,97,33.48
1462976816,Lying,91,33.32
1462976817,Lying,87,33.32
1462976833,Lying,90,33.32
1462976834,Lying,84,33.32
1462976835,Lying,80,33.32
1462976836,Lying,73,33.32
1462976837,Lying,73,33.32
1462976838,Lying,73,33.32
1462976839,Lying,77,33.32
1462976840,Lying,86,33.48
1462976841,Lying,96,33.48
1462976842,Lying,79,33.48
1462976843,Lying,97,33.48
1462976844,Lying,98,33.48
1462976850,Lying,102,33.48
1462976851,Lying,77,33.48
1462976852,Lying,86,33.48
1462976853,Lying,75,33.48
1462976854,Lying,88,33.48
1462976855,Lying,90,33.48
1462976856,Lying,79,33.48
1462976857,Lying,103,33.48
1462976858,Lying,74,33.48
1462976859,Lying,103,33.48
1462976860,Lying,85,33.48
1462976861,Lying,80,33.48
1462976864,Lying,94,33.48
1462976865,Lying,93,33.48
1462976866,Lying,100,33.48
1462976867,Lying,74,33.48
1462976868,Lying,96,33.48
1462976869,Lying,90,33.48
1462976870,Lying,75,33.64
1462976871,Lying,85,33.64
1462976872,Lying,74,33.64
1462976873,Lying,73,33.64
1462976874,Lying,83,33.64
1462976875,Lying,73,33.64
1462976878,Lying,90,33.64
1462976879,Lying,87,33.64
1462976880,Lying,90,33.64
1462976881,Lying,98,33.64
1462976882,Lying,95,33.64
1462976883,Lying,88,33.64
1462976884,Lying,73,33.64
1462976885,Lying,75,33.64
1462976886,Lying,80,33.64
1462976887,Lying,80,33.64
1462976888,Lying,82,33.64
1462976889,Lying,102,33.64
1462976892,Lying,94,33.64
1462976907,Lying,75,33.8
1462976908,Walking,96,33.64
1462976909,Walking,92,33.64
1462976910,Walking,97,33.64
1462976911,Transitioning,75,33.64
1462976912,Lying,90,33.64
1462976913,Lying,97,33.64
